metrics_path,task,backend,condition,model,model_label,passed,runtime_seconds,event_count,item_count,trace_id,conversation_id,remote_output
results/sales-pivot-analysis/fresh-cloud-openhands-gemini-3-pro-preview/no-skill/metrics.json,sales-pivot-analysis,cloud,no-skill,openhands/gemini-3-pro-preview,fresh-cloud-openhands-gemini-3-pro-preview,False,317.9,167,4,,ff65624619c3425c8af7368fc8c9e469,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-kimi-k2-0711-preview/improved-skill/metrics.json,sales-pivot-analysis,cloud,improved-skill,openhands/kimi-k2-0711-preview,fresh-cloud-openhands-kimi-k2-0711-preview,True,272.46,143,10,,4ee5e4b63d1d403880f5e394f4771569,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-kimi-k2-0711-preview/no-skill/metrics.json,sales-pivot-analysis,cloud,no-skill,openhands/kimi-k2-0711-preview,fresh-cloud-openhands-kimi-k2-0711-preview,False,,,,,,/Users/rajiv.shah/Code/evaluating_skills_tutorial/results/sales-pivot-analysis/fresh-cloud-openhands-kimi-k2-0711-preview/no-skill/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-minimax-m2-5/improved-skill/metrics.json,sales-pivot-analysis,cloud,improved-skill,openhands/minimax-m2.5,fresh-cloud-openhands-minimax-m2-5,True,136.64,70,10,,65e07811a5e746de881a8ecf885b5332,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/fresh-cloud-openhands-minimax-m2-5/no-skill/metrics.json,sales-pivot-analysis,cloud,no-skill,openhands/minimax-m2.5,fresh-cloud-openhands-minimax-m2-5,True,92.78,48,10,,053f384c0fcf4ac3843251b3896e67d3,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/improved-skill/metrics.json,sales-pivot-analysis,docker,improved-skill,,,True,133.41,32,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/no-skill/metrics.json,sales-pivot-analysis,docker,no-skill,,,True,169.74,48,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sales-pivot-analysis,docker,improved-skill,openhands/claude-sonnet-4-5-20250929,openhands-claude-sonnet-4-5-20250929,True,92.57,26,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sales-pivot-analysis,docker,no-skill,openhands/claude-sonnet-4-5-20250929,openhands-claude-sonnet-4-5-20250929,True,110.65,37,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-gemini-3-flash-preview/improved-skill/metrics.json,sales-pivot-analysis,docker,improved-skill,openhands/gemini-3-flash-preview,openhands-gemini-3-flash-preview,True,106.52,35,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-gemini-3-flash-preview/no-skill/metrics.json,sales-pivot-analysis,docker,no-skill,openhands/gemini-3-flash-preview,openhands-gemini-3-flash-preview,True,133.42,51,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-gemini-3-pro-preview/improved-skill/metrics.json,sales-pivot-analysis,docker,improved-skill,openhands/gemini-3-pro-preview,openhands-gemini-3-pro-preview,False,421.21,45,4,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-gemini-3-pro-preview/no-skill/metrics.json,sales-pivot-analysis,docker,no-skill,openhands/gemini-3-pro-preview,openhands-gemini-3-pro-preview,True,309.19,45,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-kimi-k2-0711-preview/improved-skill/metrics.json,sales-pivot-analysis,docker,improved-skill,openhands/kimi-k2-0711-preview,openhands-kimi-k2-0711-preview,True,601.37,65,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-kimi-k2-0711-preview/no-skill/metrics.json,sales-pivot-analysis,docker,no-skill,openhands/kimi-k2-0711-preview,openhands-kimi-k2-0711-preview,True,518.08,67,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-minimax-m2-5/improved-skill/metrics.json,sales-pivot-analysis,docker,improved-skill,openhands/minimax-m2.5,openhands-minimax-m2-5,True,251.64,41,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/openhands-minimax-m2-5/no-skill/metrics.json,sales-pivot-analysis,docker,no-skill,openhands/minimax-m2.5,openhands-minimax-m2-5,True,350.98,43,10,,,/workspace/project/output/result.xlsx
results/sales-pivot-analysis/release-cloud/improved-skill/metrics.json,sales-pivot-analysis,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,release-cloud,True,164.69,83,10,,050ab20a987548b3ada4bb44b9b2617f,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/release-cloud/no-skill/metrics.json,sales-pivot-analysis,cloud,no-skill,openhands/claude-sonnet-4-5-20250929,release-cloud,True,120.09,61,10,,088bd50a82c6461e98a16f77f27199c3,/workspace/project/evaluating-skills-tutorial/tasks/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/release-local/improved-skill/metrics.json,sales-pivot-analysis,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,release-local,True,167.82,34,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sales-pivot-analysis/release-local/no-skill/metrics.json,sales-pivot-analysis,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,release-local,True,211.58,39,10,,,/workspace/project/evaluating-skills-tutorial/task_repos/sales_pivot_analysis/output/result.xlsx
results/sec-financial-report/cloud-repo-final-smoke/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,cloud-repo-final-smoke,True,55.08,27,11,,8be3255acda7425d96f3578a434ce291,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/cloud-repo-skill-file/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,cloud-repo-skill-file,True,65.93,33,11,,044065e39f164ac19e7a9758e036cdab,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/cloud-repo-smoke-v1/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,cloud-repo-smoke-v1,True,60.84,30,11,,c74605f9e1374c289e27323905e65833,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,359.47,24,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,58.82,21,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-gemini-3-flash-preview/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/gemini-3-flash-preview,fresh-agent-server-openhands-gemini-3-flash-preview,True,119.85,25,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-gemini-3-flash-preview/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/gemini-3-flash-preview,fresh-agent-server-openhands-gemini-3-flash-preview,True,70.57,21,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-gemini-3-pro-preview/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/gemini-3-pro-preview,fresh-agent-server-openhands-gemini-3-pro-preview,True,77.67,19,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-gemini-3-pro-preview/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/gemini-3-pro-preview,fresh-agent-server-openhands-gemini-3-pro-preview,True,129.24,23,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-kimi-k2-0711-preview/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/kimi-k2-0711-preview,fresh-agent-server-openhands-kimi-k2-0711-preview,True,97.62,19,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-kimi-k2-0711-preview/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/kimi-k2-0711-preview,fresh-agent-server-openhands-kimi-k2-0711-preview,True,73.18,19,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-minimax-m2-5/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,True,75.76,25,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-agent-server-openhands-minimax-m2-5/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,False,69.92,23,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-cloud-openhands-claude-sonnet-4-5-20250929,True,54.83,27,11,,bc0b8423c31845a79006a401e3db0cc8,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sec-financial-report,cloud,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-cloud-openhands-claude-sonnet-4-5-20250929,True,43.78,21,11,,6392af77d16447d08a934b31b9a80608,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-gemini-3-flash-preview/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/gemini-3-flash-preview,fresh-cloud-openhands-gemini-3-flash-preview,True,27.61,14,11,,39538fe1985141379b6979f8c67cd875,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-gemini-3-flash-preview/no-skill/metrics.json,sec-financial-report,cloud,no-skill,openhands/gemini-3-flash-preview,fresh-cloud-openhands-gemini-3-flash-preview,True,81.8,40,11,,24b6a3e9a09d47d08eb4547b79a1497a,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-gemini-3-pro-preview/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/gemini-3-pro-preview,fresh-cloud-openhands-gemini-3-pro-preview,True,104.23,54,11,,bedad546d2df48ec8f20693eea15567c,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-gemini-3-pro-preview/no-skill/metrics.json,sec-financial-report,cloud,no-skill,openhands/gemini-3-pro-preview,fresh-cloud-openhands-gemini-3-pro-preview,True,98.15,47,11,,21366ee7881f468ea34181683f22f06e,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-kimi-k2-0711-preview/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/kimi-k2-0711-preview,fresh-cloud-openhands-kimi-k2-0711-preview,True,107.92,49,11,,56b660a80c0c4115bda88b58a4e48b99,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-kimi-k2-0711-preview/no-skill/metrics.json,sec-financial-report,cloud,no-skill,openhands/kimi-k2-0711-preview,fresh-cloud-openhands-kimi-k2-0711-preview,True,92.88,46,11,,53d5469e7bf2495cbdb02118782e4de1,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-minimax-m2-5/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/minimax-m2.5,fresh-cloud-openhands-minimax-m2-5,True,70.53,34,11,,17ca8dd445254e779364bda45aec7bf2,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/fresh-cloud-openhands-minimax-m2-5/no-skill/metrics.json,sec-financial-report,cloud,no-skill,openhands/minimax-m2.5,fresh-cloud-openhands-minimax-m2-5,True,49.61,24,11,,56f3f6958d6a48e982c2f4672df2e269,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/improved-skill/metrics.json,sec-financial-report,docker,improved-skill,,,True,44.26,24,11,,,/workspace/project/output/answers.json
results/sec-financial-report/laminar-agent-server-smoke/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,laminar-agent-server-smoke,True,71.44,24,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/local-agent-server-smoke/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,local-agent-server-smoke,True,65.88,24,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/no-skill/metrics.json,sec-financial-report,docker,no-skill,,,True,50.11,22,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,sec-financial-report,docker,improved-skill,openhands/claude-sonnet-4-5-20250929,openhands-claude-sonnet-4-5-20250929,True,56.47,24,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,sec-financial-report,docker,no-skill,openhands/claude-sonnet-4-5-20250929,openhands-claude-sonnet-4-5-20250929,True,53.5,22,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-gemini-3-flash-preview/improved-skill/metrics.json,sec-financial-report,docker,improved-skill,openhands/gemini-3-flash-preview,openhands-gemini-3-flash-preview,True,51.39,31,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-gemini-3-flash-preview/no-skill/metrics.json,sec-financial-report,docker,no-skill,openhands/gemini-3-flash-preview,openhands-gemini-3-flash-preview,True,89.51,19,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-gemini-3-pro-preview/improved-skill/metrics.json,sec-financial-report,docker,improved-skill,openhands/gemini-3-pro-preview,openhands-gemini-3-pro-preview,True,101.06,27,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-gemini-3-pro-preview/no-skill/metrics.json,sec-financial-report,docker,no-skill,openhands/gemini-3-pro-preview,openhands-gemini-3-pro-preview,True,109.43,21,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-kimi-k2-0711-preview/improved-skill/metrics.json,sec-financial-report,docker,improved-skill,openhands/kimi-k2-0711-preview,openhands-kimi-k2-0711-preview,True,66.58,19,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-kimi-k2-0711-preview/no-skill/metrics.json,sec-financial-report,docker,no-skill,openhands/kimi-k2-0711-preview,openhands-kimi-k2-0711-preview,True,95.42,19,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-minimax-m2-5/improved-skill/metrics.json,sec-financial-report,docker,improved-skill,openhands/minimax-m2.5,openhands-minimax-m2-5,True,69.55,25,11,,,/workspace/project/output/answers.json
results/sec-financial-report/openhands-minimax-m2-5/no-skill/metrics.json,sec-financial-report,docker,no-skill,openhands/minimax-m2.5,openhands-minimax-m2-5,False,56.77,25,11,,,/workspace/project/output/answers.json
results/sec-financial-report/release-cloud/improved-skill/metrics.json,sec-financial-report,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,release-cloud,True,71.59,34,11,,fcf6fab7bf7b46549153a5f711f0a651,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/release-cloud/no-skill/metrics.json,sec-financial-report,cloud,no-skill,openhands/claude-sonnet-4-5-20250929,release-cloud,True,66.24,33,11,,71294104ce54456fa552a10ea727cbb7,/workspace/project/evaluating-skills-tutorial/tasks/sec_financial_report/output/answers.json
results/sec-financial-report/release-local/improved-skill/metrics.json,sec-financial-report,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,release-local,True,75.51,23,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/release-local/no-skill/metrics.json,sec-financial-report,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,release-local,True,70.8,22,11,,,/workspace/project/evaluating-skills-tutorial/task_repos/sec_financial_report/output/answers.json
results/sec-financial-report/repo-backed-smoke/improved-skill/metrics.json,sec-financial-report,docker,improved-skill,openhands/claude-sonnet-4-5-20250929,repo-backed-smoke,True,49.82,19,11,,,/workspace/task_repos/sec_financial_report/output/answers.json
results/software-dependency-audit/cloud-repo-skill-auto/improved-skill/metrics.json,software-dependency-audit,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,cloud-repo-skill-auto,True,49.2,24,3,,b5a934853f3f45769ad532fe99082c91,/workspace/project/evaluating-skills-tutorial/tasks/software_dependency_audit/output/report.json
results/software-dependency-audit/cloud-repo-skill-auto-openhands/improved-skill/metrics.json,software-dependency-audit,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,cloud-repo-skill-auto-openhands,True,43.89,19,3,,986f9adefb054d7185cec6aa156a6316,/workspace/project/evaluating-skills-tutorial/tasks/software_dependency_audit/output/report.json
results/software-dependency-audit/cloud-repo-skill-auto-postpush/improved-skill/metrics.json,software-dependency-audit,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,cloud-repo-skill-auto-postpush,True,49.17,24,3,,075f413e39a04af6b069cb5d9a29ff9c,/workspace/project/evaluating-skills-tutorial/tasks/software_dependency_audit/output/report.json
results/software-dependency-audit/debug-cloud-claude-dep-noskill/no-skill/metrics.json,software-dependency-audit,cloud,no-skill,openhands/claude-sonnet-4-5-20250929,debug-cloud-claude-dep-noskill,False,195.91,66,50,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,software-dependency-audit,agent-server,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,True,63.66,22,3,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-claude-sonnet-4-5-20250929/no-skill/metrics.json,software-dependency-audit,agent-server,no-skill,openhands/claude-sonnet-4-5-20250929,fresh-agent-server-openhands-claude-sonnet-4-5-20250929,False,207.41,58,14,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-gemini-3-flash-preview/improved-skill/metrics.json,software-dependency-audit,agent-server,improved-skill,openhands/gemini-3-flash-preview,fresh-agent-server-openhands-gemini-3-flash-preview,True,88.79,19,3,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-gemini-3-flash-preview/no-skill/metrics.json,software-dependency-audit,agent-server,no-skill,openhands/gemini-3-flash-preview,fresh-agent-server-openhands-gemini-3-flash-preview,False,32.5,29,14,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-gemini-3-pro-preview/improved-skill/metrics.json,software-dependency-audit,agent-server,improved-skill,openhands/gemini-3-pro-preview,fresh-agent-server-openhands-gemini-3-pro-preview,True,131.67,25,3,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-gemini-3-pro-preview/no-skill/metrics.json,software-dependency-audit,agent-server,no-skill,openhands/gemini-3-pro-preview,fresh-agent-server-openhands-gemini-3-pro-preview,False,401.87,67,14,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-kimi-k2-0711-preview/improved-skill/metrics.json,software-dependency-audit,agent-server,improved-skill,openhands/kimi-k2-0711-preview,fresh-agent-server-openhands-kimi-k2-0711-preview,True,190.4,33,3,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-kimi-k2-0711-preview/no-skill/metrics.json,software-dependency-audit,agent-server,no-skill,openhands/kimi-k2-0711-preview,fresh-agent-server-openhands-kimi-k2-0711-preview,False,115.37,25,14,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-minimax-m2-5/improved-skill/metrics.json,software-dependency-audit,agent-server,improved-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,True,123.95,21,3,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-agent-server-openhands-minimax-m2-5/no-skill/metrics.json,software-dependency-audit,agent-server,no-skill,openhands/minimax-m2.5,fresh-agent-server-openhands-minimax-m2-5,False,355.82,59,26,,,/workspace/project/output/report.json
results/software-dependency-audit/fresh-cloud-openhands-claude-sonnet-4-5-20250929/improved-skill/metrics.json,software-dependency-audit,cloud,improved-skill,openhands/claude-sonnet-4-5-20250929,fresh-cloud-openhands-claude-sonnet-4-5-20250929,True,63.39,24,3,,,/workspace/project/output/report.json
